     X Coord      Y Coord     Diam
      -2.050       -1.065    0.230
      -1.845       -0.710    0.140
      -2.050       -0.355    0.170
      -1.845        0.000    0.380
      -2.050        0.355    0.170
      -1.845        0.710    0.140
      -2.050        1.065    0.230
      -1.435       -1.420    0.170
      -1.640       -1.065    0.140
      -1.435       -0.710    0.290
      -1.640       -0.355    0.330
      -1.435        0.000    0.260
      -1.640        0.355    0.330
      -1.435        0.710    0.290
      -1.640        1.065    0.140
      -1.435        1.420    0.170
      -1.230       -1.775    0.200
      -1.025       -1.420    0.330
      -1.230       -1.065    0.290
      -1.025       -0.710    0.230
      -1.230       -0.355    0.230
      -1.025        0.000    0.200
      -1.230        0.355    0.230
      -1.025        0.710    0.230
      -1.230        1.065    0.290
      -1.025        1.420    0.330
      -1.230        1.775    0.200
      -0.820       -1.775    0.140
      -0.615       -1.420    0.290
      -0.820       -1.065    0.240
      -0.615       -0.710    0.200
      -0.820       -0.355    0.200
      -0.615        0.000    0.140
      -0.820        0.355    0.200
      -0.615        0.710    0.200
      -0.820        1.065    0.240
      -0.615        1.420    0.290
      -0.820        1.775    0.140
      -0.410       -1.775    0.380
      -0.205       -1.420    0.260
      -0.410       -1.065    0.230
      -0.205       -0.710    0.170
      -0.410       -0.355    0.140
      -0.205        0.000    0.100
      -0.410        0.355    0.140
      -0.205        0.710    0.170
      -0.410        1.065    0.230
      -0.205        1.420    0.260
      -0.410        1.775    0.380
       0.000       -1.775    0.330
       0.205       -1.420    0.260
       0.000       -1.065    0.200
       0.205       -0.710    0.170
       0.000       -0.355    0.140
       0.205        0.000    0.100
       0.000        0.355    0.140
       0.205        0.710    0.170
       0.000        1.065    0.200
       0.205        1.420    0.260
       0.000        1.775    0.330
       0.410       -1.775    0.380
       0.615       -1.420    0.260
       0.410       -1.065    0.230
       0.615       -0.710    0.170
       0.410       -0.355    0.140
       0.615        0.000    0.100
       0.410        0.355    0.140
       0.615        0.710    0.170
       0.410        1.065    0.230
       0.615        1.420    0.260
       0.410        1.775    0.380
       0.820       -1.775    0.140
       1.025       -1.420    0.290
       0.820       -1.065    0.240
       1.025       -0.710    0.200
       0.820       -0.355    0.200
       1.025        0.000    0.140
       0.820        0.355    0.200
       1.025        0.710    0.200
       0.820        1.065    0.240
       1.025        1.420    0.290
       0.820        1.775    0.140
       1.230       -1.775    0.200
       1.435       -1.420    0.330
       1.230       -1.065    0.290
       1.435       -0.710    0.230
       1.230       -0.355    0.230
       1.435        0.000    0.200
       1.230        0.355    0.230
       1.435        0.710    0.230
       1.230        1.065    0.290
       1.435        1.420    0.330
       1.230        1.775    0.200
       1.845       -1.420    0.170
       1.640       -1.065    0.140
       1.845       -0.710    0.290
       1.640       -0.355    0.330
       1.845        0.000    0.260
       1.640        0.355    0.330
       1.845        0.710    0.290
       1.640        1.065    0.140
       1.845        1.420    0.170
       2.050       -1.065    0.230
       2.255       -0.710    0.140
       2.050       -0.355    0.170
       2.255        0.000    0.380
       2.050        0.355    0.170
       2.255        0.710    0.140
       2.050        1.065    0.230
